CoordinateX,CoordinateY
-3.6,-5.41
0.09707,4.12583
3.35,9.22
20.23982,11.4054
-3.61609,2.93651
-4.95,-2.79
4.6,-15.37
-2.37,-1.89
-2.49521,7.09915
-0.53,0.97
-2.57,-0.73
-18.46593,13.99977
-0.22,4.68
10.58,3.28
8.03,-7.55
8.82,-4.24
-5.2,-1.51
5.12,0.75
4.02853,5.48489
4.23979,3.94903
-2.11,-4.25
-2.15608,-6.51758
-0.94,-1.2
4.64,10.48
-8.49,7.67
6.52848,-5.36328
-1.85,-1.27
3.66,-2.26
2.23,-5.81
3.55,3.11
-9.39,1.75
6.61293,0.04862
-2.08347,-4.89408
4.04326,-19.80693
